form	lemma	POS	morph
༄༅། །		PUNCT
གདམས་ངག་	གདམས་ངག་	NOUN
དྲན་	དྲན་	VERB
གྲོལ་མ་	གྲོལ་མ་	NO_POS
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
མཚུངས་མེད་	མཚུངས་མེད་	OTHER
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
སྤྱི་		
ནི་	ནི་	NO_POS
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
གནད་	གནད་	NOUN
། །		PUNCT
ངེས་འབྱུང་	ངེས་འབྱུང་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་	སེམས་	NOUN
ཀྱིས་	གིས་	PART
ཀུན་	ཀུན་	DET
བསླང་	བསླང་	NO_POS
ན་	ནས་	PART
"།
།"		PUNCT
མི་དགེ་	མི་དགེ་	NOUN
སྤངས་	སྤངས་	VERB
ཤིང་	ཅིང་	PART
དགེ་བ་	དགེ་བ་	VERB
འི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
ལ་	ལ་	PART
འབད་	འབད་	VERB
། །		PUNCT
དམ་པ་	དམ་པ་	VERB
གསུམ་	གསུམ་	NUM
ལྡན་	ལྡན་	VERB
ཕྱིན་	ཕྱིན་	VERB
དྲུག་	དྲུག་	NUM
བསྐྱེད་རྫོགས་	བསྐྱེད་རྫོགས་	NOUN
བཅའ་	བཅའ་	VERB
"།
།"		PUNCT
མདོ་སྔགས་	མདོ་སྔགས་	NOUN
ལམ་	གམ་	PART
ལ་	ལ་	PART
རང་	རང་	PRON
བློ་	བློ་	NOUN
ས་	གིས་	PART
ཅི་	ཅི་	NO_POS
ནུས་	ནུས་	VERB
བསླབ་	བསླབ་	VERB
། །		PUNCT
གཞན་དོན་	གཞན་དོན་	NOUN
ལྷག་བསམ་	ལྷག་བསམ་	NOUN
